epoch,train_loss,val_loss,val_top1,val_top5
1,3.523170217871666,3.346397876739502,29.315476099650066,68.71279780069987
2,2.8288575410842896,2.5501251816749573,34.00297609965006,73.00967280069987
3,2.499516010284424,2.2262105544408164,43.8430061340332,77.4367561340332
4,2.3627003133296967,2.080038825670878,41.85267893473307,82.94270833333333
5,2.2508766651153564,1.9912866353988647,45.0148811340332,84.24479166666667
6,2.1444758027791977,1.9138275186220806,45.27529780069987,84.89583333333333
7,2.1303136497735977,1.8687456448872883,45.14508946736654,84.89583333333333
8,2.0550916492938995,1.8344269196192424,48.79092280069987,86.97916666666667
9,2.040448561310768,1.8207500576972961,46.9680061340332,86.71875
10,2.043498821556568,1.7894601424535115,47.61904780069987,87.36979166666667
11,1.974916271865368,1.782890518506368,46.279762268066406,87.76041666666667
12,1.9878037795424461,1.7563727696736653,44.97767893473307,87.63020833333333
13,1.935232400894165,1.7486722270647685,45.4055061340332,87.76041666666667
14,1.950107179582119,1.736371378103892,45.498512268066406,88.80208333333333
15,1.9540990442037582,1.7404533227284749,44.58705393473307,88.15104166666667
16,1.885022446513176,1.7069226602713268,45.62872060139974,89.97395833333333
17,1.891136810183525,1.7003185252348583,49.05133946736654,89.58333333333333
18,1.8763453364372253,1.6981381475925446,47.842262268066406,89.84375
19,1.9428613260388374,1.6780624389648438,47.61904780069987,90.49479166666667
20,1.8873142004013062,1.6873889068762462,47.19122060139974,90.75520833333333
21,1.8986689820885658,1.67977973818779,46.54017893473307,90.75520833333333
22,1.871654897928238,1.6718735992908478,45.36830393473307,91.015625
23,1.8543163612484932,1.6758900880813599,49.3117561340332,91.14583333333333
24,1.8484816774725914,1.6597566604614258,46.14955393473307,90.49479166666667
25,1.820479966700077,1.6525957485040028,46.80059560139974,91.27604166666667
26,1.7977172583341599,1.633221020301183,49.44196446736654,91.92708333333333
27,1.7888846099376678,1.630147248506546,47.842262268066406,91.92708333333333
28,1.7645264491438866,1.6187907656033833,46.670387268066406,91.66666666666667
29,1.8374073952436447,1.6307332615057628,46.54017893473307,92.05729166666667
30,1.8187987357378006,1.6029031177361805,48.9211311340332,92.44791666666667
31,1.7716390192508698,1.6237190067768097,47.97247060139974,92.05729166666667
32,1.776945099234581,1.6284132699171703,47.061012268066406,91.40625
33,1.787568837404251,1.6124223172664642,46.670387268066406,92.1875
34,1.7493514642119408,1.6055671374003093,47.58184560139974,91.92708333333333
35,1.7566646039485931,1.6121161878108978,49.57217280069987,92.1875
36,1.7445445209741592,1.619150459766388,47.451637268066406,92.05729166666667
37,1.8023229390382767,1.6005153357982635,48.10267893473307,92.31770833333333
38,1.7272683307528496,1.605208973089854,47.71205393473307,92.44791666666667
39,1.7712474316358566,1.5963339805603027,46.93080393473307,92.44791666666667
40,1.7854611575603485,1.5896593530972798,49.14434560139974,93.359375
41,1.7320872470736504,1.5885211030642192,48.49330393473307,92.31770833333333
42,1.7091994881629944,1.599987010161082,48.623512268066406,92.44791666666667
43,1.7630416229367256,1.6204537252585094,47.061012268066406,92.31770833333333
44,1.6962337866425514,1.5922276775042217,47.58184560139974,92.83854166666667
45,1.7207305952906609,1.569585273663203,51.00446446736654,93.22916666666667
46,1.779242418706417,1.584078202644984,48.232887268066406,92.31770833333333
47,1.7470143213868141,1.6023643712202709,47.58184560139974,92.578125
48,1.7486866563558578,1.5894021888573964,48.232887268066406,92.578125
49,1.7426577880978584,1.5942673285802205,47.71205393473307,92.44791666666667
50,1.7515698075294495,1.5733635028203328,49.53497060139974,92.83854166666667
51,1.72803645581007,1.5778855085372925,47.97247060139974,92.578125
52,1.6767021119594574,1.603300263484319,44.6800594329834,92.83854166666667
53,1.6586762964725494,1.571078250805537,48.36309560139974,93.22916666666667
54,1.6662104725837708,1.5753220915794373,47.451637268066406,92.70833333333333
55,1.7387256622314453,1.5710409581661224,48.623512268066406,92.578125
56,1.6998834758996964,1.5837708314259846,47.19122060139974,91.92708333333333
57,1.6791303977370262,1.5843563973903656,48.49330393473307,92.70833333333333
